Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-10-27;58,62;59,35;57,78;59,03;1.164.213;68.237.534
2022-10-26;58,72;58,94;57,07;58,94;2.716.922;158.722.724
2022-10-25;59,09;59,25;57,20;58,30;2.382.138;138.274.612
2022-10-24;57,61;58,55;56,92;58,44;2.501.917;144.923.454
2022-10-21;56,41;57,52;56,08;56,93;3.061.172;173.751.970
2022-10-20;57,03;57,98;56,38;57,00;2.004.413;114.325.830
2022-10-19;57,52;58,17;57,04;57,47;1.794.682;103.290.477
2022-10-18;56,47;57,99;55,90;57,14;2.913.706;166.537.494
2022-10-17;54,18;55,62;53,84;55,25;1.776.863;97.720.157
2022-10-14;54,52;54,85;53,28;53,86;2.157.075;116.488.624
2022-10-13;52,62;54,04;51,85;53,62;2.368.282;125.953.025
2022-10-12;52,71;52,93;51,75;52,77;1.939.609;101.973.464
2022-10-11;51,85;52,85;50,65;52,85;2.670.358;138.838.152
2022-10-10;51,80;53,44;51,63;52,05;2.177.491;114.296.684
2022-10-07;53,20;53,70;52,37;52,61;2.278.524;120.651.264
2022-10-06;53,87;54,42;53,16;53,84;2.066.809;111.016.251
2022-10-05;54,51;54,55;52,30;53,01;2.697.461;143.397.775
2022-10-04;54,13;55,17;53,40;55,00;2.920.928;159.610.725
2022-10-03;52,32;53,32;51,08;52,99;2.511.294;131.881.473
2022-09-30;52,68;53,37;50,98;52,35;3.648.879;189.747.149
2022-09-29;54,55;54,75;51,77;52,43;4.101.909;216.283.866
2022-09-28;53,62;54,75;53,13;54,44;2.749.282;148.759.701
2022-09-27;56,01;56,55;54,39;54,52;2.423.870;133.348.842
2022-09-26;53,17;55,71;53,01;54,77;2.205.489;120.712.587
2022-09-23;56,01;56,01;53,61;53,91;2.821.988;153.089.781
2022-09-22;56,11;57,33;55,88;56,10;1.930.789;108.831.125
2022-09-21;56,40;57,58;55,89;57,33;1.367.175;78.016.942
2022-09-20;57,80;58,80;56,82;57,00;1.811.591;104.072.736
2022-09-19;57,05;58,02;55,88;57,52;1.470.842;83.991.778
2022-09-16;56,95;57,29;55,62;57,02;5.775.034;327.264.196
2022-09-15;57,91;58,26;56,99;57,55;2.127.022;122.449.826
2022-09-14;57,91;58,87;56,98;57,75;2.925.812;169.075.452
2022-09-13;59,50;60,00;58,04;58,26;3.070.445;180.650.365
2022-09-12;57,00;59,28;56,89;59,28;3.448.989;202.757.184
2022-09-09;55,10;56,95;55,10;56,37;2.197.430;123.753.071
2022-09-08;56,07;56,46;54,06;55,05;2.837.453;156.088.601
2022-09-07;54,51;56,30;54,51;56,09;1.848.813;103.003.239
2022-09-06;53,67;55,40;53,52;55,24;2.218.159;121.693.625
2022-09-05;55,51;55,70;53,23;53,64;3.874.435;210.282.564
2022-09-02;55,91;57,58;55,50;57,58;3.231.350;184.607.922
2022-09-01;55,80;55,80;54,79;55,00;1.943.324;107.197.080
2022-08-31;57,40;58,01;56,12;56,12;2.579.501;145.565.772
2022-08-30;56,23;57,83;55,80;56,76;2.416.581;137.865.458
2022-08-29;54,68;56,18;54,28;56,18;1.969.692;109.552.157
2022-08-26;56,41;57,02;54,65;55,00;2.788.422;154.923.655
2022-08-25;56,27;56,81;55,54;56,31;1.778.662;99.850.832
2022-08-24;56,30;56,79;55,56;55,83;2.228.760;124.641.503
2022-08-23;55,70;57,09;55,50;56,74;2.197.419;124.478.307
2022-08-22;57,70;58,00;55,32;55,91;2.742.003;154.128.708
2022-08-19;59,90;60,09;57,99;58,09;3.083.542;180.844.822
2022-08-18;60,25;60,96;59,98;60,34;1.451.857;87.639.242
2022-08-17;61,49;61,66;60,08;60,09;1.939.799;117.171.539
2022-08-16;60,65;61,44;60,54;61,22;1.399.574;85.482.999
2022-08-15;61,02;61,17;59,99;60,56;1.231.335;74.375.461
2022-08-12;60,79;61,48;60,59;60,93;1.661.009;101.239.475
2022-08-11;60,92;61,12;60,09;60,52;1.334.795;80.959.425
2022-08-10;59,50;60,80;59,26;60,52;1.477.512;89.135.458
2022-08-09;60,47;60,89;59,62;59,63;1.540.043;92.298.476
2022-08-08;59,50;60,59;59,45;60,47;2.157.053;129.991.252
2022-08-05;59,02;59,75;58,73;58,91;2.081.223;122.852.488
2022-08-04;58,90;61,02;58,81;59,13;3.128.523;187.090.435
2022-08-03;57,22;58,79;56,40;58,73;3.019.430;175.203.535
2022-08-02;57,25;57,95;56,52;57,80;2.267.997;130.310.839
2022-08-01;57,35;58,35;57,17;57,45;2.240.864;129.189.743
2022-07-29;57,29;57,74;56,61;57,22;3.086.825;176.299.913
2022-07-28;57,20;57,66;55,45;56,74;3.058.351;173.540.834
2022-07-27;56,50;56,70;54,88;56,25;3.433.910;192.133.922
2022-07-26;55,19;55,20;54,02;54,27;2.622.172;142.818.195
2022-07-25;54,72;56,15;54,36;55,45;2.161.496;119.725.358
2022-07-22;55,08;55,54;54,69;54,69;1.977.983;108.646.526
2022-07-21;55,72;55,95;54,22;55,08;2.404.588;132.124.568
2022-07-20;56,16;56,77;54,43;55,39;2.748.669;152.675.429
2022-07-19;53,62;56,66;53,31;56,44;3.477.506;193.268.153
2022-07-18;53,37;54,29;52,52;53,97;2.724.224;146.773.682
2022-07-15;50,89;53,04;50,40;52,87;4.988.165;261.042.646
2022-07-14;51,63;52,18;50,19;50,68;3.820.841;194.526.449
2022-07-13;53,33;53,45;51,01;51,52;4.001.175;207.830.515
2022-07-12;52,95;54,14;52,21;54,00;2.414.937;128.844.471
2022-07-11;53,96;55,18;53,57;53,58;3.197.596;173.351.508
2022-07-08;53,65;55,87;53,05;55,87;3.874.127;213.423.590
2022-07-07;51,40;54,20;51,27;53,85;3.913.441;208.381.434
2022-07-06;51,36;52,06;50,62;50,62;3.383.302;172.533.361
2022-07-05;54,14;54,66;50,95;51,03;4.302.723;223.700.090
2022-07-04;55,54;55,60;53,08;53,45;2.788.226;149.689.549
2022-07-01;54,66;55,65;54,39;55,00;3.058.854;168.088.507
2022-06-30;56,48;56,48;54,42;55,22;5.239.689;289.098.528
2022-06-29;57,94;58,42;57,22;57,60;3.125.816;180.231.343
2022-06-28;59,75;60,39;58,86;58,93;2.304.696;136.986.596
2022-06-27;59,00;60,42;58,39;59,24;2.602.482;154.290.876
2022-06-24;58,92;58,95;56,86;58,56;4.012.939;232.784.166
2022-06-23;62,13;62,50;58,58;58,58;4.503.913;269.643.636
2022-06-22;63,18;63,37;61,76;62,42;3.001.216;187.017.576
2022-06-21;63,14;64,70;63,04;64,17;2.127.892;136.455.328
2022-06-20;62,14;63,07;61,46;62,98;1.856.646;116.364.757
2022-06-17;62,00;62,46;61,03;61,93;8.659.417;536.311.141
2022-06-16;63,52;63,53;61,31;61,70;3.319.069;205.598.313
2022-06-15;63,00;63,90;62,53;63,44;3.421.889;216.923.588
2022-06-14;62,48;62,92;61,37;62,29;3.057.644;190.192.081
2022-06-13;63,50;63,99;61,68;62,15;4.698.245;293.161.556
2022-06-10;66,30;66,55;64,76;64,91;3.222.045;210.723.447
2022-06-09;67,66;68,22;66,83;66,95;2.377.373;159.912.688
2022-06-08;68,04;68,19;67,07;67,95;2.396.213;162.490.591
2022-06-07;67,66;68,21;67,19;67,77;1.824.079;123.459.817
2022-06-06;67,90;68,36;67,33;68,23;1.860.110;126.579.801
2022-06-03;68,19;68,33;67,01;67,35;2.015.728;135.962.909
2022-06-02;67,10;68,42;67,10;67,80;2.123.752;144.277.135
2022-06-01;66,91;67,95;66,91;67,30;2.800.907;188.919.739
2022-05-31;66,11;67,42;65,60;66,20;8.549.353;566.351.300
2022-05-30;66,33;66,75;65,71;66,27;1.714.484;113.606.998
2022-05-27;65,52;66,02;64,79;66,02;2.659.850;174.485.749
2022-05-26;64,30;65,54;64,15;65,20;2.741.419;178.166.957
2022-05-25;64,31;64,48;63,29;64,00;2.180.008;139.239.935
2022-05-24;64,12;65,08;63,71;63,71;2.312.803;148.259.624
2022-05-23;64,60;64,61;63,15;64,56;2.226.726;142.952.125
2022-05-20;63,54;65,30;63,14;63,30;4.037.406;258.841.330
2022-05-19;64,03;64,03;61,99;63,28;3.904.945;246.280.484
2022-05-18;65,20;65,86;64,70;64,76;2.660.096;173.099.330
2022-05-17;64,08;65,16;63,91;65,14;2.785.107;180.691.344
2022-05-16;64,05;64,60;63,04;63,56;2.472.225;157.478.470
2022-05-13;63,65;64,56;62,92;64,10;3.062.818;196.114.437
2022-05-12;63,00;63,83;62,05;63,51;3.339.970;210.437.105
2022-05-11;62,28;63,94;62,01;63,86;4.564.813;289.446.288
2022-05-10;61,50;62,40;61,05;61,13;2.562.459;157.754.655
2022-05-09;61,69;62,63;60,56;60,56;2.550.726;156.037.044
2022-05-06;60,68;62,47;60,31;62,08;3.781.433;233.854.771
2022-05-05;63,40;63,84;60,74;61,00;3.077.742;190.439.140
2022-05-04;62,97;63,27;62,29;62,33;2.525.642;158.060.924
2022-05-03;62,32;62,89;61,60;62,88;3.449.636;215.573.912
2022-05-02;61,79;63,12;61,76;62,22;4.880.723;304.417.311
2022-04-29;67,10;67,53;66,43;67,10;6.141.085;411.667.564
