Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2022-10-27;9,35;9,672;9,35;9,661;9.936.795;94.451.418
2022-10-26;9,413;9,488;9,07;9,377;14.405.725;133.708.436
2022-10-25;9,20;9,266;9,107;9,266;10.904.268;100.173.874
2022-10-24;9,00;9,258;8,925;9,117;10.989.972;100.124.809
2022-10-21;8,854;8,932;8,713;8,896;15.737.461;139.321.847
2022-10-20;8,85;8,96;8,778;8,929;5.764.132;51.285.782
2022-10-19;8,88;9,012;8,812;8,887;11.245.593;100.408.907
2022-10-18;8,663;8,984;8,648;8,853;13.475.346;119.533.236
2022-10-17;8,643;8,72;8,498;8,63;11.973.260;103.317.803
2022-10-14;8,584;8,807;8,476;8,611;20.234.820;174.590.963
2022-10-13;7,789;8,433;7,737;8,36;18.140.608;147.463.704
2022-10-12;7,756;7,826;7,596;7,788;9.289.863;71.859.901
2022-10-11;7,897;7,897;7,687;7,778;10.278.114;79.842.744
2022-10-10;7,765;8,145;7,756;7,964;10.330.624;82.764.410
2022-10-07;7,84;7,99;7,766;7,822;7.882.187;62.056.516
2022-10-06;7,981;8,051;7,848;7,867;8.334.226;65.911.732
2022-10-05;8,127;8,14;7,901;7,934;10.868.838;86.887.261
2022-10-04;7,705;8,07;7,676;8,07;12.496.377;98.770.687
2022-10-03;7,456;7,687;7,249;7,63;13.941.136;104.328.450
2022-09-30;7,615;7,734;7,517;7,646;10.709.219;81.691.245
2022-09-29;7,776;7,81;7,461;7,594;13.505.184;102.362.498
2022-09-28;8,001;8,019;7,476;7,854;24.709.992;191.259.209
2022-09-27;8,519;8,587;8,128;8,128;15.219.822;126.056.001
2022-09-26;8,512;8,648;8,446;8,491;9.090.399;77.673.242
2022-09-23;9,04;9,04;8,601;8,632;15.245.531;133.389.134
2022-09-22;8,692;9,324;8,656;9,033;16.358.469;148.556.820
2022-09-21;8,863;8,91;8,712;8,819;9.398.940;82.790.655
2022-09-20;9,156;9,283;8,97;8,982;8.392.094;76.049.595
2022-09-19;9,042;9,145;8,942;9,095;7.241.546;65.525.378
2022-09-16;9,118;9,154;8,978;9,069;20.538.411;186.215.529
2022-09-15;9,05;9,299;9,05;9,232;13.949.593;128.385.826
2022-09-14;8,996;9,144;8,916;9,02;9.076.547;82.017.363
2022-09-13;9,221;9,291;8,934;9,024;11.060.750;100.626.094
2022-09-12;9,01;9,278;9,01;9,216;12.116.664;111.408.716
2022-09-09;8,71;8,978;8,706;8,932;12.474.008;110.960.319
2022-09-08;8,28;8,718;8,272;8,65;18.432.601;156.116.396
2022-09-07;8,264;8,34;8,028;8,195;11.249.328;91.753.864
2022-09-06;8,236;8,44;8,218;8,358;9.194.142;76.729.349
2022-09-05;8,266;8,28;8,04;8,181;11.197.994;91.197.533
2022-09-02;8,236;8,58;8,18;8,573;9.938.059;83.680.929
2022-09-01;8,28;8,308;8,07;8,13;8.479.512;69.208.156
2022-08-31;8,44;8,493;8,306;8,323;7.873.666;65.816.715
2022-08-30;8,232;8,561;8,226;8,392;9.503.694;80.112.632
2022-08-29;8,169;8,258;8,08;8,242;5.951.411;48.703.359
2022-08-26;8,392;8,515;8,17;8,171;6.773.632;56.243.755
2022-08-25;8,456;8,512;8,314;8,364;5.371.612;45.080.964
2022-08-24;8,32;8,365;8,175;8,359;7.979.604;66.058.675
2022-08-23;8,378;8,443;8,252;8,337;9.556.365;79.864.102
2022-08-22;8,402;8,461;8,271;8,387;7.253.829;60.612.042
2022-08-19;8,75;8,755;8,462;8,496;10.849.544;93.204.152
2022-08-18;8,81;8,955;8,773;8,868;6.872.297;60.878.834
2022-08-17;9,08;9,182;8,822;8,856;7.844.503;70.120.903
2022-08-16;8,983;9,092;8,947;8,964;5.706.031;51.363.945
2022-08-15;9,10;9,116;8,898;8,942;5.628.293;50.621.254
2022-08-12;8,95;9,13;8,916;9,061;8.193.539;74.125.027
2022-08-11;8,892;8,963;8,815;8,864;6.173.146;54.832.625
2022-08-10;8,693;8,868;8,664;8,829;7.714.471;67.849.441
2022-08-09;8,80;8,825;8,681;8,727;4.778.154;41.806.542
2022-08-08;8,81;8,896;8,672;8,799;6.484.202;56.977.873
2022-08-05;8,632;8,802;8,622;8,755;6.658.176;58.066.642
