Aktien_id;Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
1;2023-01-12;68.42;68.91;68.16;68.88;320522;21957297
1;2023-01-11;67.98;68.47;67.79;68.14;2116073;144204790
1;2023-01-10;67.32;67.98;66.88;67.75;2376716;160539000
1;2023-01-09;67.11;67.70;66.89;67.32;2399636;161450667
1;2023-01-06;66.63;67.08;64.95;66.46;2127422;140367237
1;2023-01-05;65.78;66.66;65.36;66.41;1793620;118841190
1;2023-01-04;64.40;66.11;64.30;65.86;2715145;178178607
1;2023-01-03;63.70;64.94;63.66;64.05;1630673;104875850
1;2023-01-02;61.96;63.88;61.89;63.78;1836012;116508538
1;2022-12-30;61.80;61.97;61.33;61.40;867268;53317820
1;2022-12-29;61.00;62.22;60.85;62.00;1006366;62150685
1;2022-12-28;62.08;62.08;61.08;61.33;1293906;79443494
1;2022-12-27;61.98;62.41;61.66;61.88;744145;46095765
1;2022-12-23;60.91;61.75;60.80;61.35;961726;58981842
1;2022-12-22;62.97;63.06;60.72;61.00;1950310;119817507
1;2022-12-21;62.22;62.86;61.76;62.86;1292377;80828659
1;2022-12-20;62.19;62.31;61.52;62.00;1788337;110821678
1;2022-12-19;62.10;63.05;61.98;62.63;1503334;94085445
1;2022-12-16;62.22;62.97;61.61;62.03;5172715;321949608
1;2022-12-15;64.20;64.78;62.04;62.10;3837595;240958111
1;2022-12-14;64.27;64.83;64.07;64.56;2312355;149210998
1;2022-12-13;64.17;65.68;63.79;64.61;2463128;159542803
1;2022-12-12;64.50;64.70;63.98;64.05;1797201;115351887
1;2022-12-09;63.47;64.98;63.15;64.79;2692302;173336285
1;2022-12-08;63.20;63.52;62.59;63.12;1804621;113784915
1;2022-12-07;63.50;64.31;63.07;63.12;1582496;100335217
1;2022-12-06;64.58;64.89;63.57;63.78;1529196;97858209
1;2022-12-05;64.45;64.65;63.51;64.26;2148286;137750891
1;2022-12-02;63.43;64.63;63.40;64.09;1784916;114317045
1;2022-12-01;65.22;65.37;63.25;64.16;1819216;116698423
1;2022-11-30;62.73;64.70;62.73;64.40;4058987;260874190
1;2022-11-29;61.78;62.65;61.54;62.54;2166881;135051511
1;2022-11-28;61.70;62.08;61.27;61.51;1822227;112171777
1;2022-11-25;62.60;62.70;61.95;62.37;1251984;78092857
1;2022-11-24;62.05;62.66;62.02;62.50;1181204;73748580
1;2022-11-23;62.35;62.50;61.16;62.08;1565578;96696296
1;2022-11-22;61.80;62.73;61.66;62.16;1597248;99402747
1;2022-11-21;61.68;62.47;61.55;61.91;1389921;86169677
1;2022-11-18;60.82;62.45;60.66;62.22;4348709;269576958
1;2022-11-17;61.61;61.92;59.41;60.22;2955510;178242268
1;2022-11-16;64.42;64.54;60.51;61.15;5855377;360930648
1;2022-11-15;65.53;65.61;64.31;65.19;1814287;117904802
1;2022-11-14;65.55;65.83;64.46;64.94;1863787;121137558
1;2022-11-11;63.80;65.22;63.74;64.79;3448590;222978100
1;2022-11-10;59.87;63.42;59.82;63.34;4408393;274431118
1;2022-11-09;60.56;60.66;59.59;59.92;1656985;99454733
1;2022-11-08;59.89;60.77;59.71;60.68;2214419;133987418
1;2022-11-07;59.25;60.86;59.13;59.83;1982248;119026997
1;2022-11-04;57.40;59.74;57.23;59.74;2986616;176454310
1;2022-11-03;57.60;57.75;56.52;57.07;2531028;144634285
1;2022-11-02;59.50;59.59;58.04;58.04;1935690;112875133
1;2022-11-01;58.99;59.77;58.60;59.14;1617080;95827283
1;2022-10-31;58.83;58.85;57.91;58.60;1472138;86138919
1;2022-10-28;57.64;58.52;56.74;58.20;2818548;162748549
1;2022-10-27;58.62;59.35;57.78;58.81;2247948;132022276
1;2022-10-26;58.72;58.94;57.07;58.94;2716922;158722724
1;2022-10-25;59.09;59.25;57.20;58.30;2382138;138274612
1;2022-10-24;57.61;58.55;56.92;58.44;2501917;144923454
1;2022-10-21;56.41;57.52;56.08;56.93;3061172;173751970
1;2022-10-20;57.03;57.98;56.38;57.00;2004413;114325830
1;2022-10-19;57.52;58.17;57.04;57.47;1794682;103290477
1;2022-10-18;56.47;57.99;55.90;57.14;2913706;166537494
1;2022-10-17;54.18;55.62;53.84;55.25;1776863;97720157
1;2022-10-14;54.52;54.85;53.28;53.86;2157075;116488624
1;2022-10-13;52.62;54.04;51.85;53.62;2368282;125953025
1;2022-10-12;52.71;52.93;51.75;52.77;1939609;101973464
1;2022-10-11;51.85;52.85;50.65;52.85;2670358;138838152
1;2022-10-10;51.80;53.44;51.63;52.05;2177491;114296684
1;2022-10-07;53.20;53.70;52.37;52.61;2278524;120651264
1;2022-10-06;53.87;54.42;53.16;53.84;2066809;111016251
1;2022-10-05;54.51;54.55;52.30;53.01;2697461;143397775
1;2022-10-04;54.13;55.17;53.40;55.00;2920928;159610725
1;2022-10-03;52.32;53.32;51.08;52.99;2511294;131881473
1;2022-09-30;52.68;53.37;50.98;52.35;3648879;189747149
1;2022-09-29;54.55;54.75;51.77;52.43;4101909;216283866
1;2022-09-28;53.62;54.75;53.13;54.44;2749282;148759701
1;2022-09-27;56.01;56.55;54.39;54.52;2423870;133348842
1;2022-09-26;53.17;55.71;53.01;54.77;2205489;120712587
1;2022-09-23;56.01;56.01;53.61;53.91;2821988;153089781
1;2022-09-22;56.11;57.33;55.88;56.10;1930789;108831125
1;2022-09-21;56.40;57.58;55.89;57.33;1367175;78016942
1;2022-09-20;57.80;58.80;56.82;57.00;1811591;104072736
1;2022-09-19;57.05;58.02;55.88;57.52;1470842;83991778
1;2022-09-16;56.95;57.29;55.62;57.02;5775034;327264196
1;2022-09-15;57.91;58.26;56.99;57.55;2127022;122449826
1;2022-09-14;57.91;58.87;56.98;57.75;2925812;169075452
1;2022-09-13;59.50;60.00;58.04;58.26;3070445;180650365
1;2022-09-12;57.00;59.28;56.89;59.28;3448989;202757184
1;2022-09-09;55.10;56.95;55.10;56.37;2197430;123753071
1;2022-09-08;56.07;56.46;54.06;55.05;2837453;156088601
1;2022-09-07;54.51;56.30;54.51;56.09;1848813;103003239
1;2022-09-06;53.67;55.40;53.52;55.24;2218159;121693625
1;2022-09-05;55.51;55.70;53.23;53.64;3874435;210282564
1;2022-09-02;55.91;57.58;55.50;57.58;3231350;184607922
1;2022-09-01;55.80;55.80;54.79;55.00;1943324;107197080
1;2022-08-31;57.40;58.01;56.12;56.12;2579501;145565772
1;2022-08-30;56.23;57.83;55.80;56.76;2416581;137865458
1;2022-08-29;54.68;56.18;54.28;56.18;1969692;109552157
1;2022-08-26;56.41;57.02;54.65;55.00;2788422;154923655
1;2022-08-25;56.27;56.81;55.54;56.31;1778662;99850832
1;2022-08-24;56.30;56.79;55.56;55.83;2228760;124641503
